product_category_name_english,customer_state,state_weight
agro_industry_and_commerce,AL,0.005747126436781609
agro_industry_and_commerce,AP,0.005747126436781609
agro_industry_and_commerce,BA,0.017241379310344827
agro_industry_and_commerce,CE,0.011494252873563218
agro_industry_and_commerce,ES,0.011494252873563218
agro_industry_and_commerce,GO,0.028735632183908046
agro_industry_and_commerce,MG,0.08045977011494253
agro_industry_and_commerce,MS,0.017241379310344827
agro_industry_and_commerce,MT,0.011494252873563218
agro_industry_and_commerce,PA,0.011494252873563218
agro_industry_and_commerce,PB,0.005747126436781609
agro_industry_and_commerce,PE,0.028735632183908046
agro_industry_and_commerce,PI,0.017241379310344827
agro_industry_and_commerce,PR,0.06896551724137931
agro_industry_and_commerce,RJ,0.13218390804597702
agro_industry_and_commerce,RS,0.05172413793103448
agro_industry_and_commerce,SC,0.017241379310344827
agro_industry_and_commerce,SP,0.47701149425287354
air_conditioning,AL,0.00425531914893617
air_conditioning,AM,0.00425531914893617
air_conditioning,BA,0.02553191489361702
air_conditioning,CE,0.00851063829787234
air_conditioning,DF,0.01276595744680851
air_conditioning,ES,0.02553191489361702
air_conditioning,GO,0.02553191489361702
air_conditioning,MA,0.00425531914893617
air_conditioning,MG,0.07659574468085106
air_conditioning,MT,0.01276595744680851
air_conditioning,PB,0.00425531914893617
air_conditioning,PE,0.00425531914893617
air_conditioning,PI,0.01276595744680851
air_conditioning,PR,0.03829787234042553
air_conditioning,RJ,0.225531914893617
air_conditioning,RS,0.0425531914893617
air_conditioning,SC,0.00425531914893617
air_conditioning,SP,0.46808510638297873
art,AM,0.005319148936170213
art,AP,0.010638297872340425
art,BA,0.05319148936170213
art,DF,0.026595744680851064
art,ES,0.005319148936170213
art,GO,0.015957446808510637
art,MG,0.09574468085106383
art,MS,0.005319148936170213
art,MT,0.005319148936170213
art,PA,0.010638297872340425
art,PB,0.005319148936170213
art,PE,0.005319148936170213
art,PI,0.005319148936170213
art,PR,0.03723404255319149
art,RJ,0.1595744680851064
art,RN,0.005319148936170213
art,RO,0.010638297872340425
art,RS,0.0425531914893617
art,SC,0.031914893617021274
art,SP,0.4627659574468085
arts_and_craftmanship,DF,0.05
arts_and_craftmanship,MG,0.25
arts_and_craftmanship,SC,0.05
arts_and_craftmanship,SP,0.65
audio,AL,0.014792899408284023
audio,AM,0.0029585798816568047
audio,BA,0.038461538461538464
audio,CE,0.014792899408284023
audio,DF,0.047337278106508875
audio,ES,0.038461538461538464
audio,GO,0.01775147928994083
audio,MA,0.008875739644970414
audio,MG,0.09171597633136094
audio,MS,0.0029585798816568047
audio,MT,0.011834319526627219
audio,PA,0.0029585798816568047
audio,PB,0.0029585798816568047
audio,PE,0.011834319526627219
audio,PI,0.011834319526627219
audio,PR,0.047337278106508875
audio,RJ,0.15680473372781065
audio,RN,0.0029585798816568047
audio,RS,0.047337278106508875
audio,SC,0.026627218934911243
audio,SP,0.39644970414201186
audio,TO,0.0029585798816568047
auto,AC,0.0010799136069114472
auto,AL,0.005669546436285098
auto,AM,0.0010799136069114472
auto,AP,0.0008099352051835853
auto,BA,0.03860691144708423
auto,CE,0.014308855291576673
auto,DF,0.026727861771058316
auto,ES,0.021058315334773217
auto,GO,0.018898488120950324
auto,MA,0.009989200863930885
auto,MG,0.12095032397408208
auto,MS,0.0064794816414686825
auto,MT,0.012688984881209503
auto,PA,0.011069114470842332
auto,PB,0.005939524838012959
auto,PE,0.01970842332613391
auto,PI,0.007289416846652268
auto,PR,0.05399568034557235
auto,RJ,0.10475161987041037
auto,RN,0.00458963282937365
auto,RO,0.0026997840172786176
auto,RR,0.0002699784017278618
auto,RS,0.0458963282937365
